"Collection ID","Collection Name","Description","Attributes","Attribute Type","Required","Size","Default Value","Attribute Description","Supported Features"
"user_profiles","User Profiles","Stores user profile information for authentication, display, and social interactions.","username","string","true","50","","Unique username for the user.","Follow User, Search Users, Block Users, Mentions, User Metadata"
"user_profiles","","","firstName","string","false","50","","User's first name.","User Metadata"
"user_profiles","","","lastName","string","false","50","","User's last name.","User Metadata"
"user_profiles","","","userId","string","true","36","","Unique identifier for the user.","Follow User, Search Users, Block Users, Mentions, User Metadata"
"user_profiles","","","createdAt","datetime","true","","","Timestamp when the profile was created.","User Metadata"
"user_profiles","","","updatedAt","datetime","false","","","Timestamp when the profile was last updated.","User Metadata"
"user_profiles","","","profilePicture","string","false","1000","","URL to the user's profile picture.","User Metadata"
"user_profiles","","","bio","string","false","200","","User's biography or description.","Search Users, User Metadata"
"user_profiles","","","location","string","false","100","","User's location.","User Metadata"
"user_profiles","","","website","string","false","255","","User's website URL.","User Metadata"
"user_profiles","","","is_private","boolean","false","","false","Indicates if the user's account is private.","Follow User, User Metadata"
"user_reports","User Reports","Stores reports for flagged users, posts, comments, or messages for moderation.","reporter_id","string","true","255","","ID of the user who filed the report.","Flag Users, Flag Posts, Content Moderation"
"user_reports","","","reported_user_id","string","false","255","","ID of the reported user.","Flag Users, Content Moderation"
"user_reports","","","reported_post_id","string","false","255","","ID of the reported post.","Flag Posts, Content Moderation"
"user_reports","","","reported_comment_id","string","false","255","","ID of the reported comment.","Content Moderation"
"user_reports","","","reported_message_id","string","false","255","","ID of the reported chat message.","Content Moderation"
"user_reports","","","room_id","string","false","255","","ID of the chat room related to the report.","Content Moderation"
"user_reports","","","report_type","string","true","100","","Type of report (e.g., spam, harassment).","Flag Users, Flag Posts, Content Moderation"
"user_reports","","","description","string","true","1000","","Details of the report.","Flag Users, Flag Posts, Content Moderation"
"user_reports","","","status","string","false","50","pending","Status of the report (e.g., pending, reviewed).","Content Moderation"
"user_reports","","","reviewed_by","string","false","255","","ID of the moderator who reviewed the report.","Content Moderation"
"user_reports","","","reviewed_at","datetime","false","","","Timestamp when the report was reviewed.","Content Moderation"
"user_reports","","","action_taken","string","false","500","","Action taken on the report (e.g., post removed).","Content Moderation"
"blocked_users","Blocked Users","Tracks user blocking relationships to prevent interactions.","blocker_id","string","true","255","","ID of the user who blocked another user.","Block Users"
"blocked_users","","","blocked_id","string","true","255","","ID of the blocked user.","Block Users"
"blocked_users","","","reason","string","false","500","","Reason for blocking (optional).","Block Users"
"user_presence","User Presence","Tracks user online status and typing indicators for chat rooms.","user_id","string","true","255","","ID of the user.","Push Notifications (DMs)"
"user_presence","","","username","string","true","100","","Username of the user.","Push Notifications (DMs)"
"user_presence","","","status","string","false","50","offline","Online status (e.g., online, offline).","Push Notifications (DMs)"
"user_presence","","","current_room_id","string","false","255","","ID of the chat room the user is in.","Push Notifications (DMs)"
"user_presence","","","last_seen","datetime","true","","","Timestamp when the user was last seen.","Push Notifications (DMs)"
"user_presence","","","is_typing","boolean","false","","false","Indicates if the user is typing.","Push Notifications (DMs)"
"user_presence","","","typing_in_room","string","false","255","","ID of the room where the user is typing.","Push Notifications (DMs)"
"chat_messages","Chat Messages","Stores messages in chat rooms or DMs with threading and reactions.","room_id","string","true","255","","ID of the chat room.","Push Notifications (DMs)"
"chat_messages","","","user_id","string","true","255","","ID of the user who sent the message.","Push Notifications (DMs)"
